questionName,inputType,active,section,group,path,label::fr,label::en,label_one::fr,label_one::en,parameters,appearance,conditional,validation,choices,help_popup,inputRange,confirm_popup,containsHtml,customPath,customChoice,defaultValue,includeNotApplicable,comments
attitudinalGoodAccessImportant,Radio,TRUE,attitudinal,,freqAttitudinal.attitudinalGoodAccessImportant,"<span class=""_phone"" aria-hidden=""true"">i </span>Dans le choix de mon lieu de résidence, l’accès à pied (≈ 5–15 minutes) à un arrêt ou une station avec un service fréquent aux heures où je me déplace est important pour moi.","<span class=""_phone"" aria-hidden=""true"">i </span>When choosing where to live, having walking access (≈ 5–15 minutes) to a stop or station with frequent service during the times I travel is important to me.",,,,,,optionalValidation,attitudinalChoices,,,,TRUE,,,,,
buttonCompleteAttitudinalSection,NextButton,TRUE,attitudinal,,buttonCompleteAttitudinalSection,Continuer,Continue,,,,,,,,,,,,,,,,
barriersTrip,InfoText,TRUE,barriers,,barriersTrip,Déplacement de {{nickname}} pour motif {{activity}} : {{origin}} vers {{destination}} à {{originDepartureTime}},Trip of {{nickname}} for motive {{activity}}: {{origin}} to {{destination}} at {{originDepartureTime}},Déplacement pour motif {{activity}} : {{origin}} vers {{destination}} à {{originDepartureTime}},Trip for motive {{activity}}: {{origin}} to {{destination}} at {{originDepartureTime}},customLabels={{barriersTripCustomLabel}},,hasBarrierTripConditional,,,,,,TRUE,,,,,
barriersTripMap,Custom,TRUE,barriers,,barriersTripMap,,,,,,,hasBarrierTripConditional,,,,,,TRUE,,,,,Custom because it is the map of a trip
barriersIntro,InfoText,TRUE,barriers,,barriersIntro,"<span class=""_phone"" aria-hidden=""true"">i </span>Pour le déplacement indiqué ci-dessus, vous avez utilisé la voiture. Pour chacun des éléments suivants, **indiquez s’ils ont constitué un frein à l’utilisation du transport en commun** (bus, métro, train ou REM), pour ce **déplacement**.","<span class=""_phone"" aria-hidden=""true"">i </span>For the trip shown above, you used a car. For each of the following items, **indicate whether they were a barrier to using public transit** (bus, metro, train, or REM) for this **trip**.",,,,,hasBarrierTripConditional,,,,,,TRUE,,,,,
barriersFrequency,Radio,TRUE,barriers,,barriersFrequency,"<span class=""_phone"" aria-hidden=""true"">i </span>La **fréquence de passage** du transport en commun ou TC (ex. : passages espacés, longue attente)","<span class=""_phone"" aria-hidden=""true"">i </span>**Public transit frequency** (e.g., infrequent service, long waiting times)",,,,,hasBarrierTripConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
barriersReliability,Radio,TRUE,barriers,,barriersReliability,"<span class=""_phone"" aria-hidden=""true"">i </span>La **fiabilité** du transport en commun (ex. : retards imprévisibles, annulations, crainte de correspondances manquées)","<span class=""_phone"" aria-hidden=""true"">i </span>**Reliability** of public transit (e.g., unpredictable delays, cancellations, fear of missed connections)",,,,,hasBarrierTripConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
barriersWalk,Radio,TRUE,barriers,,barriersWalk,"<span class=""_phone"" aria-hidden=""true"">i </span>La **durée de marche** jusqu’à un arrêt ou une station (au départ ou à l’arrivée)","<span class=""_phone"" aria-hidden=""true"">i </span>**Walking time** to a stop or station (at departure or arrival)",,,,,hasBarrierTripConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
barriersTime,Radio,TRUE,barriers,,barriersTime,"<span class=""_phone"" aria-hidden=""true"">i </span>La **durée totale du déplacement**, de porte-à-porte (marche + attente + temps à bord + correspondances)","<span class=""_phone"" aria-hidden=""true"">i </span>**Total travel time**, door-to-door (walking + waiting + in-vehicle time + transfers)",,,,,hasBarrierTripConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
barriersTransfer,Radio,TRUE,barriers,,barriersTransfer,"<span class=""_phone"" aria-hidden=""true"">i </span>Le **nombre de correspondances** nécessaires (changements de ligne ou de mode)","<span class=""_phone"" aria-hidden=""true"">i </span>**Number of transfers** required (changes of line or mode)",,,,,hasBarrierTripConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
barriersSecurity,Radio,TRUE,barriers,,barriersSecurity,"<span class=""_phone"" aria-hidden=""true"">i </span>La **sécurité** (manque de luminosité dans les terminus et stations, absence de personnel dans le réseau, etc.)","<span class=""_phone"" aria-hidden=""true"">i </span>**Safety** (e.g., poor lighting in terminals and stations, lack of staff in the network, etc.)",,,,,hasBarrierTripConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
barriersPlanning,Radio,TRUE,barriers,,barriersPlanning,"<span class=""_phone"" aria-hidden=""true"">i </span>La **planification du déplacement** (facilité de trouver l'information, site web accessible, etc.)","<span class=""_phone"" aria-hidden=""true"">i </span>**Trip planning** (ease of finding information, accessible website, etc.)",,,,,hasBarrierTripConditional,optionalValidation,barriersChoices,,,,TRUE,,,,,
buttonCompleteBarriersSection,NextButton,TRUE,barriers,,buttonCompleteBarriersSection,Continuer,Continue,,,,,,,,,,,,,,,,
householdType,Radio,TRUE,end,,household.type,Laquelle des situations suivantes décrit le mieux votre ménage?,Which of the following situations best describes your household?,,,,,householdTypeConditional,optionalValidation,householdType,,,,1,,,,,
householdTypeSpecify,Radio,FALSE,end,,household.typeSpecify,Plus spécifiquement?,More specifically?,,,,,householdTypeSpecifyConditional,optionalValidation,householdTypeSpecify,,,,1,,,,,
